Altstadt; 69117; Evangelischer Kindergarten Providenz; Friedrichstr. 4 Heidelberg; (06221) 24568; kita.providenzgemeinde@ekihd.de; 7:30 a.m. a.m. – 2 p.m.; 3 years – until school enrolment;;8.70269;49.41057;
Altstadt; 69117; Internationaler Kindergarten des DAI; Friedrich‐Ebert‐Anlage 28 Heidelberg; (06221) 607320; ies@dai‐heidelberg.de; 7:30 a.m. a.m. – 6 p.m. (Fri 5 p.m.);3 years – until school enrolment; Englischsprachige Einrichtung;8.6984117;49.4081549;
Altstadt; 69117; Katholischer Kindergarten St. Christophorus; Bienenstr. 7/1 Heidelberg; (06221) 23124; kiga‐st.christophorus@heidelberg‐neckartal.de;  7:30 a.m. a.m. – 5:30 p.m.; 2,75 years – until school enrolment;;8.7012893;49.4116876;
Altstadt; 69117; Kindergarten »Die Sternchen« gGmbH; Schlossberg 2 Heidelberg; (06221) 6527830; info@diesternchen.de; 7:30 a.m. a.m. – 6 p.m.; 2 years – until school enrolment;;8.7071656;49.40864149999999;
Altstadt; 69117; Kinderkrippe der Kapellengemeinde; Plöck 49  Heidelberg;  (06221) 149850; kinderkrippe@stadtmission‐hd.de; 7 a.m. – 5 p.m.; 2 month – 3 years; Evangelische Stadtmission Heidelberg e.V;8.6975535;49.4091324;
Altstadt; 69117; Städtische Kita Kanzleigasse; Kanzleigasse 1 Heidelberg ;  (06221) 5837230; kita‐kanzleigasse@heidelberg.de; 7 a.m. – 5 p.m.; 1 year – until school enrolment;;8.712641099999999;49.4114801;
Altstadt; 69117; Städtische Kita Klingenteichstraße; Klingenteichstr. 24 Heidelberg ;  (06221) 181238; kita‐klingenteichstrasse@heidelberg.de; 7 a.m. – 5 p.m.; 3 years – end of elementary school;;8.70755;49.4068;
Altstadt; 69117; Waldkindergarten Riesenstein; Postfach 120437 Heidelberg ;  0160‐93206943; heidi.eisinger@blattwerk‐hd.de; 7:30 a.m. a.m. – 2:30 p.m.; 3 – 6 years; Blattwerk e.V;8.6724335;49.3987524;
Bahnstadt; 69115; First Steps e.V.; Langer Anger 3‐5 Heidelberg ;  (06221) 8904243; first.steps@web.de; 7:30 a.m. a.m. – 5 p.m.; 1 year – until school enrolment; Bilingual (German/English);8.67316;49.398266;
Bahnstadt; 69115; Städtische Kita Schwetzinger Terrasse; Langer Anger 27 Heidelberg ;  (6221) 4264660; thilo.domschat@heidelberg.de;  7 a.m. – 5 p.m.;  1 year – until school enrolment;;8.6713641;49.3995422;
Bahnstadt; 69115; Kinderladen Heuhüpfer e.V.; Heiliggeiststr. 17 Heidelberg ;  (06221) 600334; altstadt@heuhuepfer.net; 8 a.m. – 1 p.m., 2 – 6 p.m.;  1 – 3 years;;8.71253;49.41302;
Bahnstadt; 69115; Kita KiKu Max‐Planck‐Institut; Saupfercheckweg 1 Heidelberg ; 0911‐470508154; heidelberg‐mpi@kinderzentren.de; 7 a.m. – 7 p.m.; 6 month – until school enrolment; Kinderzentren Kunterbunt gGmbH;8.70952;49.38803;
Bergheim; 69115; AWO‐Kita Bergheim; Mittermaierstr. 15 Heidelberg ;  (06221) 182738; kita‐bergheim@awo‐heidelberg.de; Kiga and out of school care: 7 a.m.  – 5 (Fri 3:30) p.m.  / Nursery: 7:30 a.m. a.m. – 4:30 (Fri 3:30) p.m.; 1 – 12 years; Arbeiterwohlfahrt Heidelberg e.V.;8.6770081;49.4070989;
Bergheim; 69115; Evangelischer Kindergarten Frieda Busch; Vangerowstr. 3 Heidelberg ;  (06221) 28838; kita.luthergemeinde@ekihd.de; 7:30 a.m. a.m. – 2 p.m.; 3 years – until school enrolment;;8.6822675;49.4086188;
Bergheim; 69115; Glückskinderwelt Betreuungsservice GmbH; Bergheimer Str. 147 Heidelberg ;  (06221) 5860157; i.kolthof@glueckskinderwelt.de; 7 a.m. – 7 p.m. (On demand longer); 3 month – 6 years;;8.6758537;49.4076167;
Bergheim; 69115; Katholischer Kindergarten St. Albert; Bergheimer Str. 108 Heidelberg ;  (06221) 161464; kiga.albert@sepn.de; 7:30 a.m. a.m. – 5:30 (Fri 5) p.m.; 2,75 years – until school enrolment;;8.675799999999999;49.40852;
